product_id,name,slug,brand,model,sku,category,price,original_price,discount_percentage,currency,description,short_description,specifications_json,rating,review_count,stock,warranty,use_cases_json,tags_json,images_json,color_options_json,highlights_json,featured,created_at,updated_at
LAP-011,Acer EliteBook V11,acer-elitebook-v11,Acer,EliteBook V11,SKU-LAP-011,Laptops,94500,98500,4,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 32 GB DDR5 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable Acer laptop running a solid processor with 32 GB DDR5 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 7"",""RAM"":""32 GB DDR5"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",3.9,59,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-011.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-012,HP EliteBook V12,hp-elitebook-v12,HP,EliteBook V12,SKU-LAP-012,Laptops,99000,103000,4,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 8 GB DDR4 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable HP laptop running a solid processor with 8 GB DDR4 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i5"",""RAM"":""8 GB DDR4"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4,63,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-012.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-013,Lenovo EliteBook V13,lenovo-elitebook-v13,Lenovo,EliteBook V13,SKU-LAP-013,Laptops,103500,107500,4,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR4 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable Lenovo laptop running a solid processor with 16 GB DDR4 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 5"",""RAM"":""16 GB DDR4"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.1,67,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-013.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-014,Dell EliteBook V14,dell-elitebook-v14,Dell,EliteBook V14,SKU-LAP-014,Laptops,108000,112000,4,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR5 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable Dell laptop running a solid processor with 16 GB DDR5 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i7"",""RAM"":""16 GB DDR5"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.2,71,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-014.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-015,ASUS EliteBook V15,asus-elitebook-v15,ASUS,EliteBook V15,SKU-LAP-015,Laptops,112500,116500,3,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 32 GB DDR5 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable ASUS laptop running a solid processor with 32 GB DDR5 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 7"",""RAM"":""32 GB DDR5"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.3,75,3,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-015.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-016,MSI EliteBook V16,msi-elitebook-v16,MSI,EliteBook V16,SKU-LAP-016,Laptops,117000,121000,3,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 8 GB DDR4 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable MSI laptop running a solid processor with 8 GB DDR4 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i5"",""RAM"":""8 GB DDR4"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.4,79,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-016.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-017,Acer EliteBook V17,acer-elitebook-v17,Acer,EliteBook V17,SKU-LAP-017,Laptops,121500,125500,3,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR4 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable Acer laptop running a solid processor with 16 GB DDR4 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 5"",""RAM"":""16 GB DDR4"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.5,83,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-017.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-018,HP EliteBook V18,hp-elitebook-v18,HP,EliteBook V18,SKU-LAP-018,Laptops,126000,130000,3,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR5 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable HP laptop running a solid processor with 16 GB DDR5 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i7"",""RAM"":""16 GB DDR5"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.6,87,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-018.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-019,Lenovo EliteBook V19,lenovo-elitebook-v19,Lenovo,EliteBook V19,SKU-LAP-019,Laptops,130500,134500,3,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 32 GB DDR5 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable Lenovo laptop running a solid processor with 32 GB DDR5 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 7"",""RAM"":""32 GB DDR5"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.7,91,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-019.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-020,Dell EliteBook V20,dell-elitebook-v20,Dell,EliteBook V20,SKU-LAP-020,Laptops,135000,139000,3,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 8 GB DDR4 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable Dell laptop running a solid processor with 8 GB DDR4 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i5"",""RAM"":""8 GB DDR4"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",3.8,95,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-020.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
PHN-001,LuminaPhone Flagship Edition,luminaphone-flagship-edition,Apple,LuminaPhone Pro,SKU-PHN-001,Smartphones,139999,144999,3,INR,"The pinnacle of mobile design featuring a solid titanium frame, dynamic display cutout, and an advanced telephoto triple camera system. Seamlessly integrated with proprietary software, it processes massive graphic requests, records cinema-grade videos, and sustains battery life for a full day of usage.",Titanium framework premium mobile phone with a triple camera system and high density OLED panel.,"{""Display"":""6.7-inch Super Retina OLED 120Hz"",""Processor"":""A17 Pro Bionic"",""RAM"":""8 GB RAM"",""Storage"":""256 GB"",""Rear Camera"":""48 MP + 12 MP + 12 MP Triple Camera"",""Front Camera"":""12 MP TrueDepth"",""Battery"":""4441 mAh"",""Charging"":""27 W Wired, 15 W Wireless"",""Operating System"":""iOS 17"",""Connectivity"":""5G, Wi-Fi 6E, Bluetooth 5.3""}",4.8,94,25,1 year,"[""Photography"",""Content creation"",""Everyday use"",""Business""]","[""ios-phone"",""premium-phone"",""triple-camera"",""titanium-body""]","[""/images/products/smartphones/phn-001.webp""]","[""Natural Titanium"",""Blue Titanium"",""White Titanium""]","[""Titanium Architecture Design"",""Photonic Engine Triple Camera"",""ProMotion 120Hz Display""]",true,2026-07-01T10:00:00.000Z,2026-08-01T10:00:00.000Z
PHN-002,Galaxy Prime Ultra Z,galaxy-prime-ultra-z,Samsung,Galaxy Ultra Z,SKU-PHN-002,Smartphones,124999,,,INR,"A premium camera phone equipped with a 200MP sensor, 100x zoom magnification, and a built-in stylus pen. Perfect for mobile multitasking, sketching, and high-fidelity video rendering on the go. The dynamic display adapts refresh rates dynamically to preserve cell power.","Top-tier Android phone featuring a built-in stylus, 200MP camera sensor, and vibrant AMOLED panel.","{""Display"":""6.8-inch Dynamic AMOLED 2X"",""Processor"":""Snapdragon 8 Gen 3"",""RAM"":""12 GB RAM"",""Storage"":""512 GB"",""Rear Camera"":""200 MP + 50 MP + 12 MP + 10 MP Quad Camera"",""Front Camera"":""12 MP"",""Battery"":""5000 mAh"",""Charging"":""45 W Wired, 15 W Wireless"",""Operating System"":""Android 14"",""Connectivity"":""5G, Wi-Fi 7, Bluetooth 5.3""}",4.7,110,18,1 year,"[""Photography"",""Mobile gaming"",""Business"",""Content creation""]","[""galaxy-phone"",""android-flagship"",""stylus-included"",""200mp-camera""]","[""/images/products/smartphones/phn-002.webp""]","[""Titanium Gray"",""Titanium Black""]","[""200 Megapixel Quad Camera"",""Integrated S Pen Stylus"",""Snapdragon 8 Gen 3 Chip""]",true,2026-07-02T10:00:00.000Z,2026-08-02T10:00:00.000Z
PHN-003,Motorola Nova 3 Pro,motorola-nova-3-pro,Motorola,Nova 3 Pro,SKU-PHN-003,Smartphones,40000,43000,7,INR,"A highly balanced mid-range smartphone carrying 5G connectivity, a multi-sensor rear camera cluster, and high-speed fast charging. It runs on Android 14 with optimal RAM memory to keep applications load times low.","Modern Motorola smartphone configured with 5G speed, large display panel, and long battery life.","{""Display"":""6.5-inch IPS LCD 90Hz"",""Processor"":""MediaTek Dimensity 8000"",""RAM"":""8 GB RAM"",""Storage"":""128 GB"",""Rear Camera"":""64 MP Dual Camera"",""Front Camera"":""16 MP"",""Battery"":""5000 mAh"",""Charging"":""33 W Fast Charging"",""Operating System"":""Android 14"",""Connectivity"":""5G, Wi-Fi, Bluetooth""}",4.1,54,35,1 year,"[""Everyday use"",""Battery-focused use"",""Mobile gaming""]","[""smartphone"",""5g-mobile"",""fast-charging"",""budget-phone""]","[""/images/products/smartphones/phn-003.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
PHN-004,Xiaomi Nova 4 Pro,xiaomi-nova-4-pro,Xiaomi,Nova 4 Pro,SKU-PHN-004,Smartphones,45000,48000,6,INR,"A highly balanced mid-range smartphone carrying 5G connectivity, a multi-sensor rear camera cluster, and high-speed fast charging. It runs on MIUI/HyperOS with optimal RAM memory to keep applications load times low.","Modern Xiaomi smartphone configured with 5G speed, large display panel, and long battery life.","{""Display"":""6.5-inch IPS LCD 90Hz"",""Processor"":""MediaTek Dimensity 8000"",""RAM"":""8 GB RAM"",""Storage"":""128 GB"",""Rear Camera"":""64 MP Dual Camera"",""Front Camera"":""16 MP"",""Battery"":""5000 mAh"",""Charging"":""33 W Fast Charging"",""Operating System"":""MIUI/HyperOS"",""Connectivity"":""5G, Wi-Fi, Bluetooth""}",4.2,57,35,1 year,"[""Everyday use"",""Battery-focused use"",""Mobile gaming""]","[""smartphone"",""5g-mobile"",""fast-charging"",""budget-phone""]","[""/images/products/smartphones/phn-004.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
PHN-005,OnePlus Nova 5 Pro,oneplus-nova-5-pro,OnePlus,Nova 5 Pro,SKU-PHN-005,Smartphones,50000,53000,6,INR,"A highly balanced mid-range smartphone carrying 5G connectivity, a multi-sensor rear camera cluster, and high-speed fast charging. It runs on Android 14 with optimal RAM memory to keep applications load times low.","Modern OnePlus smartphone configured with 5G speed, large display panel, and long battery life.","{""Display"":""6.5-inch IPS LCD 90Hz"",""Processor"":""MediaTek Dimensity 8000"",""RAM"":""8 GB RAM"",""Storage"":""128 GB"",""Rear Camera"":""64 MP Dual Camera"",""Front Camera"":""16 MP"",""Battery"":""5000 mAh"",""Charging"":""33 W Fast Charging"",""Operating System"":""Android 14"",""Connectivity"":""5G, Wi-Fi, Bluetooth""}",4.3,60,35,1 year,"[""Everyday use"",""Battery-focused use"",""Mobile gaming""]","[""smartphone"",""5g-mobile"",""fast-charging"",""budget-phone""]","[""/images/products/smartphones/phn-005.webp""]",,,true,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
